sum.taxonomy	c19_fishcard_ALL.MIU.1.S31	c19_fishcard_ALL.MIU.2.S110	c19_fishcard_ALL.MIU.3.S189	c19_fishcard_BBA.MIU.1.S34	c19_fishcard_BBA.MIU.2.S113	c19_fishcard_BBA.MIU.3.S192	c19_fishcard_BBB.MIU.1.S35	c19_fishcard_BBB.MIU.2.S114	c19_fishcard_BBB.MIU.3.S193	c19_fishcard_BBC.MIU.1.S36	c19_fishcard_BBC.MIU.2.S115	c19_fishcard_BBC.MIU.3.S194	c19_fishcard_BWA.MIU.1.S49	c19_fishcard_BWA.MIU.2.S128	c19_fishcard_BWA.MIU.3.S207	c19_fishcard_BWB.MIU.1.S50	c19_fishcard_BWB.MIU.2.S129	c19_fishcard_BWB.MIU.3.S208	c19_fishcard_BWC.MIU.1.S51	c19_fishcard_BWC.MIU.2.S130	c19_fishcard_BWC.MIU.3.S209	c19_fishcard_CAMEL.MIU.1.S58	c19_fishcard_CAMEL.MIU.2.S137	c19_fishcard_CAMEL.MIU.3.S216	c19_fishcard_CBA.MIU.1.S10	c19_fishcard_CBA.MIU.2.S89	c19_fishcard_CBA.MIU.3.S168	c19_fishcard_CBB.MIU.1.S11	c19_fishcard_CBB.MIU.2.S90	c19_fishcard_CBB.MIU.3.S169	c19_fishcard_CBC.MIU.1.S12	c19_fishcard_CBC.MIU.2.S91	c19_fishcard_CBC.MIU.3.S170	c19_fishcard_CCA.MIU.1.S25	c19_fishcard_CCA.MIU.2.S104	c19_fishcard_CCA.MIU.3.S183	c19_fishcard_CCB.MIU.1.S26	c19_fishcard_CCB.MIU.2.S105	c19_fishcard_CCB.MIU.3.S184	c19_fishcard_CCC.MIU.1.S27	c19_fishcard_CCC.MIU.2.S106	c19_fishcard_CCC.MIU.3.S185	c19_fishcard_CHA.MIU.1.S43	c19_fishcard_CHA.MIU.2.S122	c19_fishcard_CHA.MIU.3.S201	c19_fishcard_CHB.MIU.1.S44	c19_fishcard_CHB.MIU.2.S123	c19_fishcard_CHB.MIU.3.S202	c19_fishcard_CHC.MIU.1.S45	c19_fishcard_CHC.MIU.2.S124	c19_fishcard_CHC.MIU.3.S203	c19_fishcard_CPA.MIU.1.S4	c19_fishcard_CPA.MIU.2.S83	c19_fishcard_CPA.MIU.3.S162	c19_fishcard_CPB.MIU.1.S5	c19_fishcard_CPB.MIU.2.S84	c19_fishcard_CPB.MIU.3.S163	c19_fishcard_CPC.MIU.1.S6	c19_fishcard_CPC.MIU.2.S85	c19_fishcard_CPC.MIU.3.S164	c19_fishcard_DPA.MIU.1.S55	c19_fishcard_DPA.MIU.2.S134	c19_fishcard_DPA.MIU.3.S213	c19_fishcard_DPB.MIU.1.S56	c19_fishcard_DPB.MIU.2.S135	c19_fishcard_DPB.MIU.3.S214	c19_fishcard_DPC.MIU.1.S57	c19_fishcard_DPC.MIU.2.S136	c19_fishcard_DPC.MIU.3.S215	c19_fishcard_EBA.MIU.1.S46	c19_fishcard_EBA.MIU.2.S125	c19_fishcard_EBA.MIU.3.S204	c19_fishcard_EBB.MIU.1.S47	c19_fishcard_EBB.MIU.2.S126	c19_fishcard_EBB.MIU.3.S205	c19_fishcard_EBC.MIU.1.S48	c19_fishcard_EBC.MIU.2.S127	c19_fishcard_EBC.MIU.3.S206	c19_fishcard_FCA.MIU.1.S7	c19_fishcard_FCA.MIU.2.S86	c19_fishcard_FCA.MIU.3.S165	c19_fishcard_FCB.MIU.1.S8	c19_fishcard_FCB.MIU.2.S87	c19_fishcard_FCB.MIU.3.S166	c19_fishcard_FCC.MIU.1.S9	c19_fishcard_FCC.MIU.2.S88	c19_fishcard_FCC.MIU.3.S167	c19_fishcard_FPA.MIU.1.S16	c19_fishcard_FPA.MIU.2.S95	c19_fishcard_FPA.MIU.3.S174	c19_fishcard_FPB.MIU.1.S17	c19_fishcard_FPB.MIU.2.S96	c19_fishcard_FPB.MIU.3.S175	c19_fishcard_FPC.MIU.1.S18	c19_fishcard_FPC.MIU.2.S97	c19_fishcard_FPC.MIU.3.S176	c19_fishcard_LCZA.A.MIU.1.S63	c19_fishcard_LCZA.A.MIU.2.S142	c19_fishcard_LCZA.A.MIU.3.S221	c19_fishcard_LCZA.B.MIU.1.S64	c19_fishcard_LCZA.B.MIU.2.S143	c19_fishcard_LCZA.B.MIU.3.S222	c19_fishcard_LCZA.C.MIU.1.S65	c19_fishcard_LCZA.C.MIU.2.S144	c19_fishcard_LCZA.C.MIU.3.S223	c19_fishcard_LHA.MIU.1.S52	c19_fishcard_LHA.MIU.2.S131	c19_fishcard_LHA.MIU.3.S210	c19_fishcard_LHB.MIU.1.S53	c19_fishcard_LHB.MIU.2.S132	c19_fishcard_LHB.MIU.3.S211	c19_fishcard_LHC.MIU.1.S54	c19_fishcard_LHC.MIU.2.S133	c19_fishcard_LHC.MIU.3.S212	c19_fishcard_LTGOeDNA1.2.A.MIU.1.S72	c19_fishcard_LTGOeDNA1.2.A.MIU.2.S151	c19_fishcard_LTGOeDNA1.2.A.MIU.3.S230	c19_fishcard_LTGOeDNA1.2.B.MIU.1.S73	c19_fishcard_LTGOeDNA1.2.B.MIU.2.S152	c19_fishcard_LTGOeDNA1.2.B.MIU.3.S231	c19_fishcard_LTGOeDNA1.2.C.MIU.1.S74	c19_fishcard_LTGOeDNA1.2.C.MIU.2.S153	c19_fishcard_LTGOeDNA1.2.C.MIU.3.S232	c19_fishcard_LTGOeDNA5.0.A.MIU.1.S75	c19_fishcard_LTGOeDNA5.0.A.MIU.2.S154	c19_fishcard_LTGOeDNA5.0.A.MIU.3.S233	c19_fishcard_LTGOeDNA5.0.B.MIU.1.S76	c19_fishcard_LTGOeDNA5.0.B.MIU.2.S155	c19_fishcard_LTGOeDNA5.0.B.MIU.3.S234	c19_fishcard_LTGOeDNA5.0.C.MIU.1.S77	c19_fishcard_LTGOeDNA5.0.C.MIU.2.S156	c19_fishcard_LTGOeDNA5.0.C.MIU.3.S235	c19_fishcard_LTPG.A.MIU.1.S66	c19_fishcard_LTPG.A.MIU.2.S145	c19_fishcard_LTPG.A.MIU.3.S224	c19_fishcard_LTPG.B.MIU.1.S67	c19_fishcard_LTPG.B.MIU.2.S146	c19_fishcard_LTPG.B.MIU.3.S225	c19_fishcard_LTPG.C.MIU.1.S68	c19_fishcard_LTPG.C.MIU.2.S147	c19_fishcard_LTPG.C.MIU.3.S226	c19_fishcard_NEG.MIU.A.1.S32	c19_fishcard_NEG.MIU.B.1.S59	c19_fishcard_NEG.MIU.C.1.S79	c19_fishcard_PIDB.A.MIU.1.S69	c19_fishcard_PIDB.A.MIU.2.S148	c19_fishcard_PIDB.A.MIU.3.S227	c19_fishcard_PIDB.B.MIU.1.S70	c19_fishcard_PIDB.B.MIU.2.S149	c19_fishcard_PIDB.B.MIU.3.S228	c19_fishcard_PIDB.C.MIU.1.S71	c19_fishcard_PIDB.C.MIU.2.S150	c19_fishcard_PIDB.C.MIU.3.S229	c19_fishcard_PTDS.A.MIU.1.S60	c19_fishcard_PTDS.A.MIU.2.S139	c19_fishcard_PTDS.A.MIU.3.S218	c19_fishcard_PTDS.B.MIU.1.S61	c19_fishcard_PTDS.B.MIU.2.S140	c19_fishcard_PTDS.B.MIU.3.S219	c19_fishcard_PTDS.C.MIU.1.S62	c19_fishcard_PTDS.C.MIU.2.S141	c19_fishcard_PTDS.C.MIU.3.S220	c19_fishcard_RBA.MIU.1.S37	c19_fishcard_RBA.MIU.2.S116	c19_fishcard_RBA.MIU.3.S195	c19_fishcard_RBB.MIU.1.S38	c19_fishcard_RBB.MIU.2.S117	c19_fishcard_RBB.MIU.3.S196	c19_fishcard_RBC.MIU.1.S39	c19_fishcard_RBC.MIU.2.S118	c19_fishcard_RBC.MIU.3.S197	c19_fishcard_SAA.MIU.1.S28	c19_fishcard_SAA.MIU.2.S107	c19_fishcard_SAA.MIU.3.S186	c19_fishcard_SAB.MIU.1.S29	c19_fishcard_SAB.MIU.2.S108	c19_fishcard_SAB.MIU.3.S187	c19_fishcard_SAC.MIU.1.S30	c19_fishcard_SAC.MIU.2.S109	c19_fishcard_SAC.MIU.3.S188	c19_fishcard_SCA1127.MIU.1.S40	c19_fishcard_SCA1127.MIU.2.S119	c19_fishcard_SCA1127.MIU.3.S198	c19_fishcard_SCA927.MIU.1.S22	c19_fishcard_SCA927.MIU.2.S101	c19_fishcard_SCA927.MIU.3.S180	c19_fishcard_SCB1127.MIU.1.S41	c19_fishcard_SCB1127.MIU.2.S120	c19_fishcard_SCB1127.MIU.3.S199	c19_fishcard_SCB927.MIU.1.S23	c19_fishcard_SCB927.MIU.2.S102	c19_fishcard_SCB927.MIU.3.S181	c19_fishcard_SCC1127.MIU.1.S42	c19_fishcard_SCC1127.MIU.2.S121	c19_fishcard_SCC1127.MIU.3.S200	c19_fishcard_SCC927.MIU.1.S24	c19_fishcard_SCC927.MIU.2.S103	c19_fishcard_SCC927.MIU.3.S182	c19_fishcard_SMA.MIU.1.S1	c19_fishcard_SMA.MIU.2.S80	c19_fishcard_SMA.MIU.3.S159	c19_fishcard_SMB.MIU.1.S2	c19_fishcard_SMB.MIU.2.S81	c19_fishcard_SMB.MIU.3.S160	c19_fishcard_SMC.MIU.1.S3	c19_fishcard_SMC.MIU.2.S82	c19_fishcard_SMC.MIU.3.S161	c19_fishcard_SPA.MIU.1.S19	c19_fishcard_SPA.MIU.2.S98	c19_fishcard_SPA.MIU.3.S177	c19_fishcard_SPB.MIU.1.S20	c19_fishcard_SPB.MIU.2.S99	c19_fishcard_SPB.MIU.3.S178	c19_fishcard_SPC.MIU.1.S21	c19_fishcard_SPC.MIU.2.S100	c19_fishcard_SPC.MIU.3.S179	c19_fishcard_WCA.MIU.1.S13	c19_fishcard_WCA.MIU.2.S92	c19_fishcard_WCA.MIU.3.S171	c19_fishcard_WCB.MIU.1.S14	c19_fishcard_WCB.MIU.2.S93	c19_fishcard_WCB.MIU.3.S172	c19_fishcard_WCC.MIU.1.S15	c19_fishcard_WCC.MIU.2.S94	c19_fishcard_WCC.MIU.3.S173	c19_fishcard_X1.MIU.1.S33	c19_fishcard_X1.MIU.2.S112	c19_fishcard_X1.MIU.3.S191	c19_fishcard_Blank.MIU.1.S78	c19_fishcard_Blank.MIU.3.S236	c19_fishcard_NEG.MIU.A.2.S111	c19_fishcard_NEG.MIU.B.3.S217	c19_fishcard_NEG.MIU.C.3.S237
Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Petenia;Petenia splendida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Thorichthys;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Potamalosa;Potamalosa richmondia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax	0	0	0	0	1395	0	0	263	0	414	0	0	0	188	0	0	1418	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	13996	13243	16393	4239	39388	19093	9705	16678	6553	0	1162	0	790	0	0	1253	832	0	9561	10860	68359	4585	15094	4422	9728	8478	3509	411	0	0	0	0	0	0	0	0	3832	0	0	0	0	0	13214	0	0	1662	34	0	0	0	17257	0	0	0	9081	9278	20683	35542	4132	14703	7647	6431	24057	0	0	0	0	0	0	0	0	0	0	1689	0	23715	18404	0	0	3153	8711	967	3875	0	0	0	0	11887	2533	12834	11747	2736	7675	2133	6340	4650	2245	5660	10108	0	0	0	893	5167	14109	7488	2659	14209	9524	5995	5045	1452	0	616	700	0	4858	888	0	4185	4291	9837	1510	2384	3692	5567	1691	2190	5538	0	0	0	0	0	0	0	9633	0	10148	18079	19291	0	0	0	33583	17274	24460	0	0	0	17034	15870	8637	0	0	0	0	416	0	9172	2563	0	2495	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	841	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1899	0	916	0	1498	0	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoviella;Anchoviella sp. CBM-ZF-12586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoviella;Anchoviella sp. LBP 2297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis japonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax	0	0	0	723	0	0	0	524	0	565	0	0	0	1110	0	0	0	0	0	1550	0	0	0	0	3276	3419	4538	9353	13210	7996	1553	2312	10556	0	0	0	0	0	0	0	0	0	0	5	632	2700	13125	5347	2899	4321	2018	9875	6758	16788	38925	42090	33676	29042	11692	23003	871	0	0	3050	21497	1761	3372	4619	2137	12381	23810	7584	10081	22030	61135	23614	16699	16490	23604	8088	11503	31637	6726	17916	44290	9430	21594	746	978	754	12713	0	0	0	0	0	3182	1555	1373	0	649	1298	2519	0	5023	183	0	0	0	0	0	0	0	1960	0	0	0	0	0	0	7375	0	0	1507	0	11491	17049	0	0	0	0	0	3064	0	513	814	0	6713	0	153	1768	0	0	0	863	4395	10768	10839	2454	17319	17489	7239	20647	672	1699	0	816	2996	8082	46	1003	1657	11747	28607	6721	7940	8540	8380	10358	7108	27840	2436	493	8076	51998	3263	35104	9286	3	0	0	3395	1785	2380	0	6143	5512	72	1784	0	0	995	4090	3142	935	2524	121	6093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662	105	939	0	0	982	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;NA;	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Phoxinus;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Phoxinus;Phoxinus phoxinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
