"","Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1","eDNA",1,"Rarefaction",0,34.7647058823529,33.1561583950148,36.3732533696911,0.515862944162437,0.492013641454075,0.539712246870798
"2","eDNA",2,"Rarefaction",0,51.5955882352942,49.6633789967061,53.5277974738822,0.713705583756346,0.692425244037765,0.734985923474927
"3","eDNA",3,"Rarefaction",0,61.5485294117647,59.4167715904473,63.6802872330821,0.812781000725164,0.794828581479834,0.830733419970494
"4","eDNA",4,"Rarefaction",0,68.057142857143,65.7310726476562,70.3832130666297,0.868892359755305,0.854072209068622,0.883712510441987
"5","eDNA",5,"Rarefaction",0,72.6150614091792,70.0953541376843,75.1347686806742,0.903355739015637,0.891033014104823,0.915678463926452
"6","eDNA",6,"Rarefaction",0,75.9748707175181,73.2702888418264,78.6794525932098,0.92595855920729,0.91536752104508,0.9365495973695
"7","eDNA",7,"Rarefaction",0,78.5488996297823,75.6726464076361,81.4251528519285,0.941570823423615,0.932013170083681,0.95112847676355
"8","eDNA",8,"Rarefaction",0,80.5801727684082,77.5451636631866,83.6151818736297,0.952782412173275,0.943731301344908,0.961833523001642
"9","eDNA",9,"Rarefaction",0,82.2216783216784,79.0378277143745,85.4055289289824,0.961072852697218,0.952197431887681,0.969948273506755
"10","eDNA",10,"Rarefaction",0,83.5749691484989,80.2483303379028,86.9016079590951,0.967346316965606,0.958475616545125,0.976217017386088
"11","eDNA",11,"Rarefaction",0,84.7101648351652,81.2432047158658,88.1771249544646,0.972185809114743,0.963250314163737,0.98112130406575
"12","eDNA",12,"Rarefaction",0,85.6771170006466,82.0694686254955,89.2847653757977,0.975979435116491,0.966959973408211,0.984998896824771
"13","eDNA",13,"Rarefaction",0,86.5121848739497,82.7614236978137,90.2629460500858,0.978988397389413,0.969880375758721,0.988096419020104
"14","eDNA",14,"Rarefaction",0,87.2426470588235,83.3448383905119,91.1404557271351,0.981387478849408,0.972177755497335,0.99059720220148
"15","eDNA",15,"Rarefaction",0,87.889705882353,83.8396183148056,91.9397934499005,0.9832910321489,0.973943685341944,0.992638378955856
"16","eDNA",16,"Rarefaction",0,88.4705882352941,84.2615559193059,92.6796205512823,0.984771573604061,0.975220378379418,0.994322768828704
"17","eDNA",17,"Observed",0,89,84.623473516281,93.376526483719,0.986120927841676,0.976431463781826,0.995810391901526
"18","eDNA",18,"Extrapolation",0,89.4825018615041,84.9291369088115,94.0358668141967,0.987350719045578,0.977607770899434,0.997093667191722
"19","eDNA",19,"Extrapolation",0,89.9222503935079,85.182926829768,94.6615739572477,0.988471541408628,0.97875785128192,0.998185231535337
"20","eDNA",20,"Extrapolation",0,90.3230338657138,85.3896546058267,95.2564131256009,0.989493050397737,0.979880903370146,0.999105197425328
"21","eDNA",21,"Extrapolation",0,90.6883048783572,85.5543061538863,95.8223036028281,0.990424045932115,0.980972851457361,0.999875240406868
"22","eDNA",22,"Extrapolation",0,91.0212101050701,85.6818094713567,96.3606107387836,0.991272548191294,0.982029087740109,1
