distances_id,distance,probs
elas_fishcard_12S_all:Santa_Monica:A:1,0.3535929102363167,0.9010497504434911
elas_fishcard_12S_all:Santa_Monica:A:3,0.3535929102363167,0.9010497504434911
elas_fishcard_12S_all:Christy:A:2,0.6353914079667147,0.9999035556249677
elas_fishcard_12S_all:Ford_Pt:B:1,0.4179036427745584,0.9674475850071321
elas_fishcard_12S_all:Ford_Pt:B:2,0.4476442767997641,0.982228391588898
elas_fishcard_12S_all:Ford_Pt:B:3,0.5075442396795407,0.9956150435350388
elas_fishcard_12S_all:Sandy_Point:A:1,0.37364260673354976,0.9280200334077836
elas_fishcard_12S_all:Sandy_Point:A:2,0.49022104342605693,0.9932606289610808
elas_fishcard_12S_all:Sandy_Point:A:3,0.4136752383591057,0.964690236430545
elas_fishcard_12S_all:Soledad:B:3,0.4390497742046937,0.9787035259086514
elas_fishcard_12S_all:China_Camp:A:2,0.4798017625736325,0.9913583264220307
elas_fishcard_12S_all:Southeast_Anchorage:C:1,0.4056464226014135,0.9589281014745711
elas_fishcard_12S_all:Southeast_Anchorage:C:2,0.4056464226014135,0.9589281014745711
elas_fishcard_12S_all:Coches:A:2,0.4186220447809918,0.9678979225530416
elas_fishcard_12S_all:Forney:C:2,0.4286859009754184,0.9736835344228083
elas_fishcard_12S_all:Forney:B:3,0.35315413425042946,0.9003863356708278
elas_fishcard_12S_all:Dangermond:B:2,0.44970698459423825,0.9829961134845632
elas_fishcard_12S_all:PIDB:A:1,0.4138980831282215,0.9648401886638949
elas_fishcard_12S_all:LTGO_1.2:B:1,0.62999410247066,0.9998840250141987
elas_fishcard_12S_all:LTGO_1.2:B:3,0.48299082485594586,0.9919852614050105
elas_fishcard_12S_all:LTGO_1.2:C:1,0.4201964294407037,0.9688668686588776
elas_fishcard_12S_all:LTGO_5:A:1,0.4384218859243757,0.9784243059169613
elas_fishcard_12S_all:LTGO_5:A:3,0.578925790742631,0.9994004955919629
elas_fishcard_12S_all:LTGO_5:C:3,0.3800158001583298,0.9352907734921135
miu_fishcard_12S_all:China_Camp:A:2,0.4865285764383557,0.9926336394755902
miu_fishcard_12S_all:China_Camp:A:3,0.5540210767366579,0.9987503304008494
miu_fishcard_12S_all:China_Camp:B:1,0.3848191958261742,0.9403834150766297
miu_fishcard_12S_all:China_Camp:C:3,0.36670436323922506,0.9194096574851937
miu_fishcard_12S_all:Ford_Pt:B:1,0.5391376462206278,0.9981013018118559
miu_fishcard_12S_all:Ford_Pt:C:1,0.39131230704011705,0.94676185199683
miu_fishcard_12S_all:Ford_Pt:C:3,0.39131230704011705,0.94676185199683
miu_fishcard_12S_all:LTGO_1.2:A:1,0.5643171887168255,0.9990727447760035
miu_fishcard_12S_all:LTGO_1.2:C:1,0.37109853725348946,0.924948628340088
miu_fishcard_12S_all:LTGO_1.2:C:3,0.4583665763416006,0.9859174254930358
miu_fishcard_12S_all:LTGO_5:B:2,0.4187914703484838,0.9680033757454841
miu_fishcard_12S_all:Southeast_Anchorage:B:2,0.41456439334609346,0.965285434796067
miu_fishcard_12S_all:Soledad:A:3,0.4059108770779941,0.9591293542368645
miu_fishcard_12S_all:Santa_Monica:B:3,0.6716479010895221,0.9999735196957312
miu_fishcard_12S_all:Sandy_Point:C:2,0.5263532106636487,0.9973136592300003
miu_fishcard_12S_all:LTGO_1.2:B:3,0.6493060034121475,0.9999406180367991
