distances_id,distance,probs
elas_fishcard_12S_all:Christy:A:2,0.6351553246196396,0.9998961257847842
elas_fishcard_12S_all:Ford_Pt:B:1,0.41790364277455844,0.9667731083629736
elas_fishcard_12S_all:Ford_Pt:B:2,0.4476442767997642,0.9817762050731137
elas_fishcard_12S_all:Ford_Pt:B:3,0.5075442396795405,0.9954544153676508
elas_fishcard_12S_all:Sandy_Point:A:1,0.37117054446426245,0.9239598782618491
elas_fishcard_12S_all:Sandy_Point:A:2,0.4924763228624661,0.9934055608584219
elas_fishcard_12S_all:Sandy_Point:A:3,0.41206848405906066,0.9628705812566047
elas_fishcard_12S_all:Soledad:B:3,0.45775415647160655,0.9853381858909251
elas_fishcard_12S_all:China_Camp:A:2,0.47980176257363255,0.9910889820429053
elas_fishcard_12S_all:Southeast_Anchorage:C:1,0.4056464226014135,0.9581506733740107
elas_fishcard_12S_all:Southeast_Anchorage:C:2,0.4056464226014135,0.9581506733740107
elas_fishcard_12S_all:Coches:A:2,0.41862204478099185,0.9672293165977979
elas_fishcard_12S_all:Forney:C:2,0.42868590097541837,0.9730948281383973
elas_fishcard_12S_all:Dangermond:B:2,0.44970698459423825,0.9825575472274014
elas_fishcard_12S_all:PIDB:A:1,0.4106312883729045,0.9618539677106374
elas_fishcard_12S_all:LTGO_1.2:B:1,0.62999410247066,0.9998762734233031
elas_fishcard_12S_all:LTGO_1.2:B:3,0.4829908248559458,0.9917306240205179
elas_fishcard_12S_all:LTGO_1.2:C:1,0.4201964294407037,0.9682110553926523
elas_fishcard_12S_all:LTGO_5:A:1,0.43740961261802364,0.9774442065383614
elas_fishcard_12S_all:LTGO_5:A:3,0.5798482254293273,0.9993860397303191
elas_fishcard_12S_all:LTGO_5:C:3,0.38001580013721903,0.9342896350929076
miu_fishcard_12S_all:China_Camp:A:2,0.4865285764383556,0.9923946180717318
miu_fishcard_12S_all:China_Camp:A:3,0.5540210767366581,0.9986917141733286
miu_fishcard_12S_all:China_Camp:B:1,0.3829629708057497,0.9374785078885974
miu_fishcard_12S_all:China_Camp:C:3,0.4869125571033012,0.9924637828282872
miu_fishcard_12S_all:Ford_Pt:B:1,0.5391376462206277,0.9980187837196415
miu_fishcard_12S_all:Ford_Pt:C:1,0.39131230704011705,0.9458596076361196
miu_fishcard_12S_all:Ford_Pt:C:3,0.39131230704011705,0.9458596076361196
miu_fishcard_12S_all:LTGO_1.2:A:1,0.5643171896566229,0.9990269613020484
miu_fishcard_12S_all:LTGO_1.2:C:1,0.37109853725348946,0.9238709842854316
miu_fishcard_12S_all:LTGO_1.2:C:3,0.4583665763416006,0.9855332386778131
miu_fishcard_12S_all:LTGO_5:B:2,0.4195485065536,0.9678100126562136
miu_fishcard_12S_all:Southeast_Anchorage:B:2,0.4145643933460932,0.9645834096686986
miu_fishcard_12S_all:Soledad:A:3,0.40591087707799417,0.9583541948278195
miu_fishcard_12S_all:Santa_Monica:B:3,0.6712191142310822,0.9999709621269297
miu_fishcard_12S_all:Sandy_Point:C:2,0.5263532106636486,0.9972045445136597
miu_fishcard_12S_all:LTGO_1.2:B:3,0.6472748064587083,0.9999316178672611
