New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
CPB_3	Santa_Cruz_Island	Coches	B	3	8/24/18	CPB	9/27/18	1250	Sample	CPB_3	NA	3
CPC_1	Santa_Cruz_Island	Coches	C	1	8/24/18	CPC	9/27/18	1250	Sample	CPC_1	NA	3
CPC_2	Santa_Cruz_Island	Coches	C	2	8/24/18	CPC	9/27/18	1250	Sample	CPC_2	NA	3
CPC_3	Santa_Cruz_Island	Coches	C	3	8/24/18	CPC	9/27/18	1250	Sample	CPC_3	NA	3
DPA_1	Mainland	Dangermond	A	1	11/2/18	DPA	11/27/18	1150	Sample	DPA_1	NA	3
DPA_2	Mainland	Dangermond	A	2	11/2/18	DPA	11/27/18	1150	Sample	DPA_2	NA	3
DPA_3	Mainland	Dangermond	A	3	11/2/18	DPA	11/27/18	1150	Sample	DPA_3	NA	3
DPB_1	Mainland	Dangermond	B	1	11/2/18	DPB	11/27/18	750	Sample	DPB_1	NA	3
DPB_2	Mainland	Dangermond	B	2	11/2/18	DPB	11/27/18	750	Sample	DPB_2	NA	3
DPB_3	Mainland	Dangermond	B	3	11/2/18	DPB	11/27/18	750	Sample	DPB_3	NA	3
DPC_1	Mainland	Dangermond	C	1	11/2/18	DPC	11/27/18	1200	Sample	DPC_1	NA	3
DPC_2	Mainland	Dangermond	C	2	11/2/18	DPC	11/27/18	1200	Sample	DPC_2	NA	3
DPC_3	Mainland	Dangermond	C	3	11/2/18	DPC	11/27/18	1200	Sample	DPC_3	NA	3
EBA_1	Santa_Catalina_Island	Emerald_Bay	A	1	10/21/18	EBA	11/27/18	1000	Sample	EBA_1	NA	3
EBA_2	Santa_Catalina_Island	Emerald_Bay	A	2	10/21/18	EBA	11/27/18	1000	Sample	EBA_2	NA	3
EBA_3	Santa_Catalina_Island	Emerald_Bay	A	3	10/21/18	EBA	11/27/18	1000	Sample	EBA_3	NA	3
EBB_1	Santa_Catalina_Island	Emerald_Bay	B	1	10/21/18	EBB	11/27/18	1100	Sample	EBB_1	NA	3
EBB_2	Santa_Catalina_Island	Emerald_Bay	B	2	10/21/18	EBB	11/27/18	1100	Sample	EBB_2	NA	3
EBB_3	Santa_Catalina_Island	Emerald_Bay	B	3	10/21/18	EBB	11/27/18	1100	Sample	EBB_3	NA	3
EBC_1	Santa_Catalina_Island	Emerald_Bay	C	1	10/21/18	EBC	11/27/18	1000	Sample	EBC_1	NA	3
EBC_2	Santa_Catalina_Island	Emerald_Bay	C	2	10/21/18	EBC	11/27/18	1000	Sample	EBC_2	NA	3
EBC_3	Santa_Catalina_Island	Emerald_Bay	C	3	10/21/18	EBC	11/27/18	1000	Sample	EBC_3	NA	3
FCA_1	Santa_Cruz_Island	Forney	A	1	8/25/18	FCA	9/27/18	1250	Sample	FCA_1	NA	3
FCA_2	Santa_Cruz_Island	Forney	A	2	8/25/18	FCA	9/27/18	1250	Sample	FCA_2	NA	3
FCA_3	Santa_Cruz_Island	Forney	A	3	8/25/18	FCA	9/27/18	1250	Sample	FCA_3	NA	3
FCB_1	Santa_Cruz_Island	Forney	B	1	8/25/18	FCB	9/27/18	1250	Sample	FCB_1	NA	3
