New_name,Location,Site,Site_Code,Bio_rep,Tech_rep,Sample_date,eDNA_label,Extraction_date,Volume,Sample_Control,Technical_rep,Control_Type,K,in_visuals,temp_2018,avg_temp_total
CHA_2,San_Miguel_Island,Cuylers_Harbor,CH,A,2,10_16_2018,CHA,11_27_2018,1250,Sample,CHA_2,NA,3,keep,16.20499964,14.76970555
CHA_3,San_Miguel_Island,Cuylers_Harbor,CH,A,3,10_16_2018,CHA,11_27_2018,1250,Sample,CHA_3,NA,3,keep,16.20499964,14.76970555
CHB_1,San_Miguel_Island,Cuylers_Harbor,CH,B,1,10_16_2018,CHB,11_27_2018,1250,Sample,CHB_1,NA,3,keep,16.20499964,14.76970555
CHB_2,San_Miguel_Island,Cuylers_Harbor,CH,B,2,10_16_2018,CHB,11_27_2018,1250,Sample,CHB_2,NA,3,keep,16.20499964,14.76970555
CHB_3,San_Miguel_Island,Cuylers_Harbor,CH,B,3,10_16_2018,CHB,11_27_2018,1250,Sample,CHB_3,NA,3,keep,16.20499964,14.76970555
CHC_1,San_Miguel_Island,Cuylers_Harbor,CH,C,1,10_16_2018,CHC,11_27_2018,1250,Sample,CHC_1,NA,3,keep,16.20499964,14.76970555
CHC_2,San_Miguel_Island,Cuylers_Harbor,CH,C,2,10_16_2018,CHC,11_27_2018,1250,Sample,CHC_2,NA,3,keep,16.20499964,14.76970555
CHC_3,San_Miguel_Island,Cuylers_Harbor,CH,C,3,10_16_2018,CHC,11_27_2018,1250,Sample,CHC_3,NA,3,keep,16.20499964,14.76970555
CPA_1,Santa_Cruz_Island,Coches,CP,A,1,8_24_2018,CPA,9_27_2018,1250,Sample,CPA_1,NA,3,keep,20.69499954,17.58985255
CPA_2,Santa_Cruz_Island,Coches,CP,A,2,8_24_2018,CPA,9_27_2018,1250,Sample,CPA_2,NA,3,keep,20.69499954,17.58985255
CPA_3,Santa_Cruz_Island,Coches,CP,A,3,8_24_2018,CPA,9_27_2018,1250,Sample,CPA_3,NA,3,keep,20.69499954,17.58985255
CPB_1,Santa_Cruz_Island,Coches,CP,B,1,8_24_2018,CPB,9_27_2018,1250,Sample,CPB_1,NA,3,keep,20.69499954,17.58985255
CPB_2,Santa_Cruz_Island,Coches,CP,B,2,8_24_2018,CPB,9_27_2018,1250,Sample,CPB_2,NA,3,keep,20.69499954,17.58985255
CPB_3,Santa_Cruz_Island,Coches,CP,B,3,8_24_2018,CPB,9_27_2018,1250,Sample,CPB_3,NA,3,keep,20.69499954,17.58985255
CPC_1,Santa_Cruz_Island,Coches,CP,C,1,8_24_2018,CPC,9_27_2018,1250,Sample,CPC_1,NA,3,keep,20.69499954,17.58985255
CPC_2,Santa_Cruz_Island,Coches,CP,C,2,8_24_2018,CPC,9_27_2018,1250,Sample,CPC_2,NA,3,keep,20.69499954,17.58985255
CPC_3,Santa_Cruz_Island,Coches,CP,C,3,8_24_2018,CPC,9_27_2018,1250,Sample,CPC_3,NA,3,keep,20.69499954,17.58985255
DPA_1,Point_Concepcion,Dangermond,DP,A,1,11_2_2018,DPA,11_27_2018,1150,Sample,DPA_1,NA,3,no,15.44249965,15.34044083
DPA_2,Point_Concepcion,Dangermond,DP,A,2,11_2_2018,DPA,11_27_2018,1150,Sample,DPA_2,NA,3,no,15.44249965,15.34044083
