New_name,Location,Site,Site_Code,Bio_rep,Tech_rep,Sample_date,eDNA_label,Extraction_date,Volume,Sample_Control,Technical_rep,Control_Type,K,in_visuals,temp_2018,avg_temp_total
SAB_3,Santa_Rosa_Island,Southeast_Anchorage,SA,B,3,9_13_2018,SAB,9_27_2018,1250,Sample,SAB_3,NA,3,keep,17.9799996,15.0580879
SAC_1,Santa_Rosa_Island,Southeast_Anchorage,SA,C,1,9_13_2018,SAC,9_27_2018,1200,Sample,SAC_1,NA,3,keep,17.9799996,15.0580879
SAC_2,Santa_Rosa_Island,Southeast_Anchorage,SA,C,2,9_13_2018,SAC,9_27_2018,1200,Sample,SAC_2,NA,3,keep,17.9799996,15.0580879
SAC_3,Santa_Rosa_Island,Southeast_Anchorage,SA,C,3,9_13_2018,SAC,9_27_2018,1200,Sample,SAC_3,NA,3,keep,17.9799996,15.0580879
SCA_1,Santa_Barbara,Santa_Claus,SC,A,1,NA,SCA,11_27_2018,1150,Sample,SCA_1,NA,3,no,21.03249953,17.4042153
SCA_2,Santa_Barbara,Santa_Claus,SC,A,2,NA,SCA,11_27_2018,1150,Sample,SCA_2,NA,3,no,21.03249953,17.4042153
SCA_3,Santa_Barbara,Santa_Claus,SC,A,3,NA,SCA,11_27_2018,1150,Sample,SCA_3,NA,3,no,21.03249953,17.4042153
SCAR_1,Santa_Rosa_Island,Soledad,SC_R,A,1,9_11_2018,SCAR,9_27_2018,1100,Sample,SCAR_1,NA,3,seine,15.81249965,15.04441143
SCAR_2,Santa_Rosa_Island,Soledad,SC_R,A,2,9_11_2018,SCAR,9_27_2018,1100,Sample,SCAR_2,NA,3,seine,15.81249965,15.04441143
SCAR_3,Santa_Rosa_Island,Soledad,SC_R,A,3,9_11_2018,SCAR,9_27_2018,1100,Sample,SCAR_3,NA,3,seine,15.81249965,15.04441143
SCB_1,Santa_Barbara,Santa_Claus,SC,B,1,NA,SCB,11_27_2018,800,Sample,SCB_1,NA,3,no,21.03249953,17.4042153
SCB_2,Santa_Barbara,Santa_Claus,SC,B,2,NA,SCB,11_27_2018,800,Sample,SCB_2,NA,3,no,21.03249953,17.4042153
SCB_3,Santa_Barbara,Santa_Claus,SC,B,3,NA,SCB,11_27_2018,800,Sample,SCB_3,NA,3,no,21.03249953,17.4042153
SCBR_1,Santa_Rosa_Island,Soledad,SC_R,B,1,9_11_2018,SCBR,9_27_2018,1200,Sample,SCBR_1,NA,3,seine,15.81249965,15.04441143
SCBR_2,Santa_Rosa_Island,Soledad,SC_R,B,2,9_11_2018,SCBR,9_27_2018,1200,Sample,SCBR_2,NA,3,seine,15.81249965,15.04441143
SCBR_3,Santa_Rosa_Island,Soledad,SC_R,B,3,9_11_2018,SCBR,9_27_2018,1200,Sample,SCBR_3,NA,3,seine,15.81249965,15.04441143
SCC_1,Santa_Barbara,Santa_Claus,SC,C,1,NA,SCC,11_27_2018,1150,Sample,SCC_1,NA,3,no,21.03249953,17.4042153
SCC_2,Santa_Barbara,Santa_Claus,SC,C,2,NA,SCC,11_27_2018,1150,Sample,SCC_2,NA,3,no,21.03249953,17.4042153
SCC_3,Santa_Barbara,Santa_Claus,SC,C,3,NA,SCC,11_27_2018,1150,Sample,SCC_3,NA,3,no,21.03249953,17.4042153
SCCR_1,Santa_Rosa_Island,Soledad,SC_R,C,1,9_11_2018,SCCR,9_27_2018,1100,Sample,SCCR_1,NA,3,seine,15.81249965,15.04441143
SCCR_2,Santa_Rosa_Island,Soledad,SC_R,C,2,9_11_2018,SCCR,9_27_2018,1100,Sample,SCCR_2,NA,3,seine,15.81249965,15.04441143
SCCR_3,Santa_Rosa_Island,Soledad,SC_R,C,3,9_11_2018,SCCR,9_27_2018,1100,Sample,SCCR_3,NA,3,seine,15.81249965,15.04441143
SMA_1,Santa_Monica,Santa_Monica,SM,A,1,8_15_2018,SMA,9_27_2018,1000,Sample,SMA_1,NA,3,no,19.76499956,17.87735254
SMA_2,Santa_Monica,Santa_Monica,SM,A,2,8_15_2018,SMA,9_27_2018,1000,Sample,SMA_2,NA,3,no,19.76499956,17.87735254
SMA_3,Santa_Monica,Santa_Monica,SM,A,3,8_15_2018,SMA,9_27_2018,1000,Sample,SMA_3,NA,3,no,19.76499956,17.87735254
SMB_1,Santa_Monica,Santa_Monica,SM,B,1,8_15_2018,SMB,9_27_2018,1000,Sample,SMB_1,NA,3,no,19.76499956,17.87735254
SMB_2,Santa_Monica,Santa_Monica,SM,B,2,8_15_2018,SMB,9_27_2018,1000,Sample,SMB_2,NA,3,no,19.76499956,17.87735254
SMB_3,Santa_Monica,Santa_Monica,SM,B,3,8_15_2018,SMB,9_27_2018,1000,Sample,SMB_3,NA,3,no,19.76499956,17.87735254
SMC_1,Santa_Monica,Santa_Monica,SM,C,1,8_15_2018,SMC,9_27_2018,1250,Sample,SMC_1,NA,3,no,19.76499956,17.87735254
SMC_2,Santa_Monica,Santa_Monica,SM,C,2,8_15_2018,SMC,9_27_2018,1250,Sample,SMC_2,NA,3,no,19.76499956,17.87735254
SMC_3,Santa_Monica,Santa_Monica,SM,C,3,8_15_2018,SMC,9_27_2018,1250,Sample,SMC_3,NA,3,no,19.76499956,17.87735254
SPA_1,Santa_Rosa_Island,Sandy_Point,SP,A,1,9_10_2018,SPA,9_27_2018,1250,Sample,SPA_1,NA,3,keep,16.02166631,15.07450947
SPA_2,Santa_Rosa_Island,Sandy_Point,SP,A,2,9_10_2018,SPA,9_27_2018,1250,Sample,SPA_2,NA,3,keep,16.02166631,15.07450947
SPA_3,Santa_Rosa_Island,Sandy_Point,SP,A,3,9_10_2018,SPA,9_27_2018,1250,Sample,SPA_3,NA,3,keep,16.02166631,15.07450947
SPB_1,Santa_Rosa_Island,Sandy_Point,SP,B,1,9_10_2018,SPB,9_27_2018,1250,Sample,SPB_1,NA,3,keep,16.02166631,15.07450947
SPB_2,Santa_Rosa_Island,Sandy_Point,SP,B,2,9_10_2018,SPB,9_27_2018,1250,Sample,SPB_2,NA,3,keep,16.02166631,15.07450947
SPB_3,Santa_Rosa_Island,Sandy_Point,SP,B,3,9_10_2018,SPB,9_27_2018,1250,Sample,SPB_3,NA,3,keep,16.02166631,15.07450947
SPC_1,Santa_Rosa_Island,Sandy_Point,SP,C,1,9_10_2018,SPC,9_27_2018,1000,Sample,SPC_1,NA,3,keep,16.02166631,15.07450947
SPC_2,Santa_Rosa_Island,Sandy_Point,SP,C,2,9_10_2018,SPC,9_27_2018,1000,Sample,SPC_2,NA,3,keep,16.02166631,15.07450947
SPC_3,Santa_Rosa_Island,Sandy_Point,SP,C,3,9_10_2018,SPC,9_27_2018,1000,Sample,SPC_3,NA,3,keep,16.02166631,15.07450947
WCA_1,Santa_Rosa_Island,Water_Canyon,WC,A,1,9_8_2018,WCA,9_27_2018,1250,Sample,WCA_1,NA,3,keep,16.91999962,15.26220554
WCA_2,Santa_Rosa_Island,Water_Canyon,WC,A,2,9_8_2018,WCA,9_27_2018,1250,Sample,WCA_2,NA,3,keep,16.91999962,15.26220554
WCA_3,Santa_Rosa_Island,Water_Canyon,WC,A,3,9_8_2018,WCA,9_27_2018,1250,Sample,WCA_3,NA,3,keep,16.91999962,15.26220554
WCB_1,Santa_Rosa_Island,Water_Canyon,WC,B,1,9_8_2018,WCB,9_27_2018,1000,Sample,WCB_1,NA,3,keep,16.91999962,15.26220554
WCB_2,Santa_Rosa_Island,Water_Canyon,WC,B,2,9_8_2018,WCB,9_27_2018,1000,Sample,WCB_2,NA,3,keep,16.91999962,15.26220554
WCB_3,Santa_Rosa_Island,Water_Canyon,WC,B,3,9_8_2018,WCB,9_27_2018,1000,Sample,WCB_3,NA,3,keep,16.91999962,15.26220554
WCC_1,Santa_Rosa_Island,Water_Canyon,WC,C,1,9_8_2018,WCC,9_27_2018,1200,Sample,WCC_1,NA,3,keep,16.91999962,15.26220554
WCC_2,Santa_Rosa_Island,Water_Canyon,WC,C,2,9_8_2018,WCC,9_27_2018,1200,Sample,WCC_2,NA,3,keep,16.91999962,15.26220554
WCC_3,Santa_Rosa_Island,Water_Canyon,WC,C,3,9_8_2018,WCC,9_27_2018,1200,Sample,WCC_3,NA,3,keep,16.91999962,15.26220554
