sum.taxonomy	fishcard_12S_all_ALL.MIU.1.S31	fishcard_12S_all_ALL.MIU.2.S110	fishcard_12S_all_ALL.MIU.3.S189	fishcard_12S_all_BBA.MIU.1.S34	fishcard_12S_all_BBA.MIU.2.S113	fishcard_12S_all_BBA.MIU.3.S192	fishcard_12S_all_BBB.MIU.1.S35	fishcard_12S_all_BBB.MIU.2.S114	fishcard_12S_all_BBB.MIU.3.S193	fishcard_12S_all_BBC.MIU.1.S36	fishcard_12S_all_BBC.MIU.2.S115	fishcard_12S_all_BBC.MIU.3.S194	fishcard_12S_all_BWA.MIU.1.S49	fishcard_12S_all_BWA.MIU.2.S128	fishcard_12S_all_BWA.MIU.3.S207	fishcard_12S_all_BWB.MIU.1.S50	fishcard_12S_all_BWB.MIU.2.S129	fishcard_12S_all_BWB.MIU.3.S208	fishcard_12S_all_BWC.MIU.1.S51	fishcard_12S_all_BWC.MIU.2.S130	fishcard_12S_all_BWC.MIU.3.S209	fishcard_12S_all_CAMEL.MIU.1.S58	fishcard_12S_all_CAMEL.MIU.2.S137	fishcard_12S_all_CAMEL.MIU.3.S216	fishcard_12S_all_CBA.MIU.1.S10	fishcard_12S_all_CBA.MIU.2.S89	fishcard_12S_all_CBA.MIU.3.S168	fishcard_12S_all_CBB.MIU.1.S11	fishcard_12S_all_CBB.MIU.2.S90	fishcard_12S_all_CBB.MIU.3.S169	fishcard_12S_all_CBC.MIU.1.S12	fishcard_12S_all_CBC.MIU.2.S91	fishcard_12S_all_CBC.MIU.3.S170	fishcard_12S_all_CCA.MIU.1.S25	fishcard_12S_all_CCA.MIU.2.S104	fishcard_12S_all_CCA.MIU.3.S183	fishcard_12S_all_CCB.MIU.1.S26	fishcard_12S_all_CCB.MIU.2.S105	fishcard_12S_all_CCB.MIU.3.S184	fishcard_12S_all_CCC.MIU.1.S27	fishcard_12S_all_CCC.MIU.2.S106	fishcard_12S_all_CCC.MIU.3.S185	fishcard_12S_all_CHA.MIU.1.S43	fishcard_12S_all_CHA.MIU.2.S122	fishcard_12S_all_CHA.MIU.3.S201	fishcard_12S_all_CHB.MIU.1.S44	fishcard_12S_all_CHB.MIU.2.S123	fishcard_12S_all_CHB.MIU.3.S202	fishcard_12S_all_CHC.MIU.1.S45	fishcard_12S_all_CHC.MIU.2.S124	fishcard_12S_all_CHC.MIU.3.S203	fishcard_12S_all_CPA.MIU.1.S4	fishcard_12S_all_CPA.MIU.2.S83	fishcard_12S_all_CPA.MIU.3.S162	fishcard_12S_all_CPB.MIU.1.S5	fishcard_12S_all_CPB.MIU.2.S84	fishcard_12S_all_CPB.MIU.3.S163	fishcard_12S_all_CPC.MIU.1.S6	fishcard_12S_all_CPC.MIU.2.S85	fishcard_12S_all_CPC.MIU.3.S164	fishcard_12S_all_DPA.MIU.1.S55	fishcard_12S_all_DPA.MIU.2.S134	fishcard_12S_all_DPA.MIU.3.S213	fishcard_12S_all_DPB.MIU.1.S56	fishcard_12S_all_DPB.MIU.2.S135	fishcard_12S_all_DPB.MIU.3.S214	fishcard_12S_all_DPC.MIU.1.S57	fishcard_12S_all_DPC.MIU.2.S136	fishcard_12S_all_DPC.MIU.3.S215	fishcard_12S_all_EBA.MIU.1.S46	fishcard_12S_all_EBA.MIU.2.S125	fishcard_12S_all_EBA.MIU.3.S204	fishcard_12S_all_EBB.MIU.1.S47	fishcard_12S_all_EBB.MIU.2.S126	fishcard_12S_all_EBB.MIU.3.S205	fishcard_12S_all_EBC.MIU.1.S48	fishcard_12S_all_EBC.MIU.2.S127	fishcard_12S_all_EBC.MIU.3.S206	fishcard_12S_all_FCA.MIU.1.S7	fishcard_12S_all_FCA.MIU.2.S86	fishcard_12S_all_FCA.MIU.3.S165	fishcard_12S_all_FCB.MIU.1.S8	fishcard_12S_all_FCB.MIU.2.S87	fishcard_12S_all_FCB.MIU.3.S166	fishcard_12S_all_FCC.MIU.1.S9	fishcard_12S_all_FCC.MIU.2.S88	fishcard_12S_all_FCC.MIU.3.S167	fishcard_12S_all_FPA.MIU.1.S16	fishcard_12S_all_FPA.MIU.2.S95	fishcard_12S_all_FPA.MIU.3.S174	fishcard_12S_all_FPB.MIU.1.S17	fishcard_12S_all_FPB.MIU.2.S96	fishcard_12S_all_FPB.MIU.3.S175	fishcard_12S_all_FPC.MIU.1.S18	fishcard_12S_all_FPC.MIU.2.S97	fishcard_12S_all_FPC.MIU.3.S176	fishcard_12S_all_LCZA.A.MIU.1.S63	fishcard_12S_all_LCZA.A.MIU.2.S142	fishcard_12S_all_LCZA.A.MIU.3.S221	fishcard_12S_all_LCZA.B.MIU.1.S64	fishcard_12S_all_LCZA.B.MIU.2.S143	fishcard_12S_all_LCZA.B.MIU.3.S222	fishcard_12S_all_LCZA.C.MIU.1.S65	fishcard_12S_all_LCZA.C.MIU.2.S144	fishcard_12S_all_LCZA.C.MIU.3.S223	fishcard_12S_all_LHA.MIU.1.S52	fishcard_12S_all_LHA.MIU.2.S131	fishcard_12S_all_LHA.MIU.3.S210	fishcard_12S_all_LHB.MIU.1.S53	fishcard_12S_all_LHB.MIU.2.S132	fishcard_12S_all_LHB.MIU.3.S211	fishcard_12S_all_LHC.MIU.1.S54	fishcard_12S_all_LHC.MIU.2.S133	fishcard_12S_all_LHC.MIU.3.S212	fishcard_12S_all_LTGOeDNA1.2.A.MIU.1.S72	fishcard_12S_all_LTGOeDNA1.2.A.MIU.2.S151	fishcard_12S_all_LTGOeDNA1.2.A.MIU.3.S230	fishcard_12S_all_LTGOeDNA1.2.B.MIU.1.S73	fishcard_12S_all_LTGOeDNA1.2.B.MIU.2.S152	fishcard_12S_all_LTGOeDNA1.2.B.MIU.3.S231	fishcard_12S_all_LTGOeDNA1.2.C.MIU.1.S74	fishcard_12S_all_LTGOeDNA1.2.C.MIU.2.S153	fishcard_12S_all_LTGOeDNA1.2.C.MIU.3.S232	fishcard_12S_all_LTGOeDNA5.0.A.MIU.1.S75	fishcard_12S_all_LTGOeDNA5.0.A.MIU.2.S154	fishcard_12S_all_LTGOeDNA5.0.A.MIU.3.S233	fishcard_12S_all_LTGOeDNA5.0.B.MIU.1.S76	fishcard_12S_all_LTGOeDNA5.0.B.MIU.2.S155	fishcard_12S_all_LTGOeDNA5.0.B.MIU.3.S234	fishcard_12S_all_LTGOeDNA5.0.C.MIU.1.S77	fishcard_12S_all_LTGOeDNA5.0.C.MIU.2.S156	fishcard_12S_all_LTGOeDNA5.0.C.MIU.3.S235	fishcard_12S_all_LTPG.A.MIU.1.S66	fishcard_12S_all_LTPG.A.MIU.2.S145	fishcard_12S_all_LTPG.A.MIU.3.S224	fishcard_12S_all_LTPG.B.MIU.1.S67	fishcard_12S_all_LTPG.B.MIU.2.S146	fishcard_12S_all_LTPG.B.MIU.3.S225	fishcard_12S_all_LTPG.C.MIU.1.S68	fishcard_12S_all_LTPG.C.MIU.2.S147	fishcard_12S_all_LTPG.C.MIU.3.S226	fishcard_12S_all_NEG.MIU.A.1.S32	fishcard_12S_all_NEG.MIU.B.1.S59	fishcard_12S_all_NEG.MIU.C.1.S79	fishcard_12S_all_PIDB.A.MIU.1.S69	fishcard_12S_all_PIDB.A.MIU.2.S148	fishcard_12S_all_PIDB.A.MIU.3.S227	fishcard_12S_all_PIDB.B.MIU.1.S70	fishcard_12S_all_PIDB.B.MIU.2.S149	fishcard_12S_all_PIDB.B.MIU.3.S228	fishcard_12S_all_PIDB.C.MIU.1.S71	fishcard_12S_all_PIDB.C.MIU.2.S150	fishcard_12S_all_PIDB.C.MIU.3.S229	fishcard_12S_all_PTDS.A.MIU.1.S60	fishcard_12S_all_PTDS.A.MIU.2.S139	fishcard_12S_all_PTDS.A.MIU.3.S218	fishcard_12S_all_PTDS.B.MIU.1.S61	fishcard_12S_all_PTDS.B.MIU.2.S140	fishcard_12S_all_PTDS.B.MIU.3.S219	fishcard_12S_all_PTDS.C.MIU.1.S62	fishcard_12S_all_PTDS.C.MIU.2.S141	fishcard_12S_all_PTDS.C.MIU.3.S220	fishcard_12S_all_RBA.MIU.1.S37	fishcard_12S_all_RBA.MIU.2.S116	fishcard_12S_all_RBA.MIU.3.S195	fishcard_12S_all_RBB.MIU.1.S38	fishcard_12S_all_RBB.MIU.2.S117	fishcard_12S_all_RBB.MIU.3.S196	fishcard_12S_all_RBC.MIU.1.S39	fishcard_12S_all_RBC.MIU.2.S118	fishcard_12S_all_RBC.MIU.3.S197	fishcard_12S_all_SAA.MIU.1.S28	fishcard_12S_all_SAA.MIU.2.S107	fishcard_12S_all_SAA.MIU.3.S186	fishcard_12S_all_SAB.MIU.1.S29	fishcard_12S_all_SAB.MIU.2.S108	fishcard_12S_all_SAB.MIU.3.S187	fishcard_12S_all_SAC.MIU.1.S30	fishcard_12S_all_SAC.MIU.2.S109	fishcard_12S_all_SAC.MIU.3.S188	fishcard_12S_all_SCA1127.MIU.1.S40	fishcard_12S_all_SCA1127.MIU.2.S119	fishcard_12S_all_SCA1127.MIU.3.S198	fishcard_12S_all_SCA927.MIU.1.S22	fishcard_12S_all_SCA927.MIU.2.S101	fishcard_12S_all_SCA927.MIU.3.S180	fishcard_12S_all_SCB1127.MIU.1.S41	fishcard_12S_all_SCB1127.MIU.2.S120	fishcard_12S_all_SCB1127.MIU.3.S199	fishcard_12S_all_SCB927.MIU.1.S23	fishcard_12S_all_SCB927.MIU.2.S102	fishcard_12S_all_SCB927.MIU.3.S181	fishcard_12S_all_SCC1127.MIU.1.S42	fishcard_12S_all_SCC1127.MIU.2.S121	fishcard_12S_all_SCC1127.MIU.3.S200	fishcard_12S_all_SCC927.MIU.1.S24	fishcard_12S_all_SCC927.MIU.2.S103	fishcard_12S_all_SCC927.MIU.3.S182	fishcard_12S_all_SMA.MIU.1.S1	fishcard_12S_all_SMA.MIU.2.S80	fishcard_12S_all_SMA.MIU.3.S159	fishcard_12S_all_SMB.MIU.1.S2	fishcard_12S_all_SMB.MIU.2.S81	fishcard_12S_all_SMB.MIU.3.S160	fishcard_12S_all_SMC.MIU.1.S3	fishcard_12S_all_SMC.MIU.2.S82	fishcard_12S_all_SMC.MIU.3.S161	fishcard_12S_all_SPA.MIU.1.S19	fishcard_12S_all_SPA.MIU.2.S98	fishcard_12S_all_SPA.MIU.3.S177	fishcard_12S_all_SPB.MIU.1.S20	fishcard_12S_all_SPB.MIU.2.S99	fishcard_12S_all_SPB.MIU.3.S178	fishcard_12S_all_SPC.MIU.1.S21	fishcard_12S_all_SPC.MIU.2.S100	fishcard_12S_all_SPC.MIU.3.S179	fishcard_12S_all_WCA.MIU.1.S13	fishcard_12S_all_WCA.MIU.2.S92	fishcard_12S_all_WCA.MIU.3.S171	fishcard_12S_all_WCB.MIU.1.S14	fishcard_12S_all_WCB.MIU.2.S93	fishcard_12S_all_WCB.MIU.3.S172	fishcard_12S_all_WCC.MIU.1.S15	fishcard_12S_all_WCC.MIU.2.S94	fishcard_12S_all_WCC.MIU.3.S173	fishcard_12S_all_X1.MIU.1.S33	fishcard_12S_all_X1.MIU.2.S112	fishcard_12S_all_X1.MIU.3.S191	fishcard_12S_all_Blank.MIU.1.S78	fishcard_12S_all_Blank.MIU.3.S236	fishcard_12S_all_NEG.MIU.A.2.S111	fishcard_12S_all_NEG.MIU.B.3.S217	fishcard_12S_all_NEG.MIU.C.3.S237
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax mordax	0	0	0	0	0	0	0	0	0	0	0	0	5382	0	0	453	0	0	4275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2723	5014	1058	959	209	0	2761	3247	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	635	596	9	16	785	0	0	0	0	0	0	0	0	0	0	0	14	0	15773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Venefica;Venefica procera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae;Myrophis;Myrophis vafer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinopsis;Atherinopsis californiensis	0	0	0	30134	66341	35960	33041	41159	48597	23157	57375	61079	64735	26619	11503	18180	19016	8730	29937	9990	25830	0	0	0	56669	35871	22466	55609	28416	19429	79166	21436	28015	0	6570	0	3712	0	0	0	0	8710	9439	19121	13442	12139	69495	39526	15792	21453	11078	17786	6622	34009	47708	71413	45818	66109	13471	22245	2347	968	20947	2566	3534	1860	8335	15326	1951	9008	15563	6029	10487	10225	35953	16126	18605	15086	1403	2354	3064	0	1432	1774	0	0	4482	7999	4964	16341	37144	0	0	25858	5693	13483	6244	1542	9759	3570	3906	4375	18863	1732	22656	13003	18509	15120	17757	15173	44136	4175	8604	17180	13597	0	0	0	0	0	33998	23475	0	5186	5798	49304	20902	671	32263	7553	0	33317	3000	5458	6549	419	1735	4196	2096	2106	7885	0	0	20654	66	9039	13472	7805	2692	3390	15883	1933	12638	7891	15688	43554	7913	38118	57727	6051	15716	55867	8005	29827	5213	6734	6702	11460	4108	6086	11515	20417	8978	37093	30208	29170	48837	13430	19774	0	9861	11345	13406	0	0	4219	19505	10752	15485	2707	2414	0	14161	6833	5317	0	0	0	17146	4823	8305	20416	2933	0	11482	9789	3452	844	4457	5720	10472	8311	24177	19809	0	10376	30219	4346	11048	8532	8295	10087	10977	25875	13517	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis	0	0	10	0	1200	0	54	0	928	0	50	0	0	0	0	5125	1726	683	4506	2684	2	0	0	0	6290	0	0	10512	2	1602	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	69	0	1083	276	573	316	0	3	1	916	10566	2906	2855	1	450	1198	0	6412	1154	4417	0	1	2693	560	0	0	0	1	0	0	0	2	515	2057	0	0	2253	458	0	0	0	0	2	0	0	1	0	0	0	0	0	1	2454	2448	0	1514	4000	5211	843	7810	180	259	52	0	0	0	0	0	198	1	0	0	0	4015	0	13391	0	0	968	1218	1	2	0	1	0	5173	41	15552	789	7303	1273	4276	7164	1	1417	2404	0	0	0	885	5573	12519	7917	1355	12835	471	1348	13078	1204	748	3492	750	2980	3836	866	2542	3983	416	1	500	279	1386	471	278	618	0	0	0	0	0	3971	0	0	0	0	3148	4578	10588	0	0	0	4650	11999	8676	0	0	0	8847	3080	2091	0	0	0	0	1000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6135	0	0	683	0	2872	3612	1767	5032	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;NA;	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	1	0	2	4	5	0	0	0	1	1	0	3	0	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	10	0	0	0	0	0	1	1	1	1	0	2	2	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	3	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	1	1	3	0	2	7	0	2	22	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	12	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Scopelarchidae;Benthalbella;Benthalbella dentata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	96	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
